Time,2021-09-30
CalNum,12304555
IP,192.168.50.2
SubMask,255.255.255.0
DefaultGateWay,192.168.0.1
Port,23

Ram地址,檔位,SMU讀值(A),MPA讀值(A),差值(A),校正值(4byte)
="14",="1mA",,,,="00-00-E9-D5"
="15",="1mA",,,,="00-01-33-91"
="16",="100mA",,,,="00-00-08-4D"
="17",="10mA",,,,="00-00-08-44"
="18",="1mA",,,,="00-00-08-31"
="19",="100uA",,,,="00-00-07-7D"
="1a",="10uA",,,,="00-00-00-66"
="1b",="1uA",,,,="00-00-0F-F6"
="1c",="100nA",,,,="00-00-0F-F6"
="1d",="10nA",,,,="00-00-0F-F6"
="1e",="1nA",,,,="00-00-0F-F6"
="23",="100mA",-0.100002,-0.0712647121,-0.0287372879,="EE-DF-09-B1"
="24",="100mA",-0.0900016,-0.0932003853,0.00319878530000001,="01-E8-18-8D"
="25",="100mA",-0.0800027,-0.0824415384,0.0024388384,="01-74-23-20"
="26",="100mA",-0.0700019,-0.0719705782,0.00196867819999999,="01-2C-65-7E"
="27",="100mA",-0.0600015,-0.0614968954,0.0014953954,="00-E4-2D-E2"
="28",="100mA",-0.0500014,-0.0508390578,0.000837657800000002,="00-7F-D1-02"
="29",="100mA",-0.0400023,-0.0401877962,0.000185496200000003,="00-1C-4D-F2"
="2a",="100mA",-0.0300003,-0.0292996935,-0.000700606499999999,="FF-95-18-8F"
="2b",="100mA",-0.0200003,-0.0186325043,-0.0013677957,="FF-2F-4A-7B"
="2c",="100mA",-0.00999873,-0.0106930487,0.0006943187,="00-69-F1-D3"
="2d",="100mA",2.65121E-13,0.0003169014,-0.000316901399734879,="FF-CF-A5-0A"
="2e",="100mA",0.0100032,0.0100079066,-4.70659999999949E-06,="FF-FF-48-26"
="2f",="100mA",0.0200116,0.0169526738,0.0030589262,="01-D2-C1-4E"
="30",="100mA",0.0300155,0.0275157828,0.0024997172,="01-7D-6D-34"
="31",="100mA",0.0400171,0.0384701609,0.0015469391,="00-EC-0B-4F"
="32",="100mA",0.0500155,0.0492167308,0.000798769199999994,="00-79-E1-EC"
="33",="100mA",0.0600163,0.0598932568,0.000123043199999999,="00-12-C6-60"
="34",="100mA",0.0700167,0.0704605941,-0.000443894099999995,="FF-BC-44-63"
="35",="100mA",0.080014,0.0809940741,-0.000980074100000006,="FF-6A-73-DB"
="36",="100mA",0.0900095,0.0909180142,-0.000908514200000002,="FF-75-5F-2A"
="37",="100mA",0.100007,0.1002851771,-0.000278177099999999,="FF-D5-8D-B5"
="34",="10mA",-0.0100003,-0.01003905369,3.87536899999989E-05,="00-3B-22-29"
="35",="10mA",-0.00900067,-0.00904052617,3.98561699999998E-05,="00-3C-D0-D1"
="36",="10mA",-0.00800091,-0.00803715205,3.62420499999995E-05,="00-37-4D-0D"
="37",="10mA",-0.00700108,-0.00703313441,3.20544099999993E-05,="00-30-E9-41"
="38",="10mA",-0.00600086,-0.00602860824,2.77482399999992E-05,="00-2A-57-28"
="39",="10mA",-0.00500078,-0.0050218604,2.10803999999998E-05,="00-20-2A-88"
="3a",="10mA",-0.00400077,-0.00401940616,1.86361600000001E-05,="00-1C-6F-C0"
="3b",="10mA",-0.00300106,-0.00301445298,1.33929800000001E-05,="00-14-6F-A2"
="3c",="10mA",-0.00200073,-0.00200927613,8.54612999999982E-06,="00-0D-0A-55"
="3d",="10mA",-0.00100001,-0.00100432195,4.31195000000001E-06,="00-06-94-5B"
